id,title,label,latintoponym,pleiades,welchid,golvinid,buildingtype,chronogroup,secondcentury,capacity,modcountry,romanregion,zotero,amphitheatrum,dimensionsunknown,arenamajor,arenaminor,extmajor,extminor,exteriorheight,longitude,latitude,elevation
duraEuroposAmphitheater,Amphitheater at Dura Europos,Dura Europos,Dura Europus,https://pleiades.stoa.org/places/893989,,129,amphitheater,severan,FALSE,1000,Syria,syria,5ADZC245,https://amphi-theatrum.de/1449.html,FALSE,31,25,50,44,,40.728926,34.749855,223
arlesAmphitheater,Amphitheater at Arles,Arles,Arelate,https://pleiades.stoa.org/places/148217,,154,amphitheater,flavian,TRUE,23354,France,narbonensis,LD7NNHSG,https://amphi-theatrum.de/1371.html,FALSE,47,32,136,107,,4.631111,43.677778,21
lyonAmphitheater,Amphitheater at Lyon,Lyon,Lugdunum,https://pleiades.stoa.org/places/167717,,171,amphitheater,second-century,TRUE,27454,France,lugdunensis,,https://amphi-theatrum.de/1416.html,FALSE,67.6,42,143,117,,4.830556,45.770556,206
ludusMagnusArena,Ludus Magnus Arena,Ludus Magnus,Ludus Magnus,https://pleiades.stoa.org/places/423025,,,practice-arena,imperial,FALSE,,Italy,regio-i,,https://amphi-theatrum.de/1708.html,TRUE,,,,,,12.494913,41.88995,22
romeFlavianAmphitheater,Flavian Amphitheater at Rome,Flavian Amphitheater,Roma,https://pleiades.stoa.org/places/423025,,152,amphitheater,flavian,TRUE,50000,Italy,regio-i,VKMRD8AT,https://amphi-theatrum.de/1373.html,FALSE,83,48,189,156,52,12.492269,41.890169,22
romeAmphitheatrumCastrense,Amphitheatrum Castrense (Rome),Amph. Castrense,Roma,https://pleiades.stoa.org/places/423025,,189,amphitheater,severan,FALSE,7000,Italy,regio-i,,https://amphi-theatrum.de/1566.html,FALSE,,,88,75.8,,12.515144,41.887715,48
eleutheropolisAmphitheater,Amphitheater at Eleutheropolis,Eleutheropolis,Eleutheropolis,https://pleiades.stoa.org/places/687854,,,amphitheater,second-century,TRUE,3500,Israel,judaea,,https://amphi-theatrum.de/2397.html,FALSE,47,38,71,56,,34.893845,31.608189,253
pompeiiAmphitheater,Amphitheater at Pompeii,Pompeii,Pompeii,https://pleiades.stoa.org/places/433032,1,2,amphitheater,republican,FALSE,20000,Italy,regio-i,2DX4CYZZ,https://amphi-theatrum.de/1367.html,FALSE,66,35,135,104,,14.495262,40.751213,21
meridaAmphitheater,Amphitheater at Mérida,Mérida,Emerita Augusta,https://pleiades.stoa.org/places/256155,,77,amphitheater,julio-claudian,TRUE,15000,Spain,lusitania,,https://amphi-theatrum.de/2701.html,FALSE,64,41,126,102,,-6.337952,38.916168,231
newsteadAmphitheater,Amphitheater at Newstead,Newstead,Trimontium,https://pleiades.stoa.org/places/89304,,,amphitheater,flavian,TRUE,1500,United Kingdom,britannia,CPSBJ2HR,https://amphi-theatrum.de/1899.html,FALSE,37,23,70,60,,-2.6919,55.6026,83
conimbrigaAmphitheater,Amphitheater at Conimbriga,Conimbriga,Conimbriga,https://pleiades.stoa.org/places/236443,,101,amphitheater,julio-claudian,TRUE,4000,Portugal,lusitania,,https://amphi-theatrum.de/1528.html,FALSE,54,40,94,80,,-8.49333,40.099444,100
cumaeAmphitheater,Amphitheater at Cumae,Cumae,Cumae,https://pleiades.stoa.org/places/432808,4,,amphitheater,republican,TRUE,,Italy,regio-i,,https://amphi-theatrum.de/1474.html,FALSE,,,114,84,,14.056,40.841847,19
pozzuoliFlavianAmphitheater,Flavian Amphitheater at Pozzuoli,Pozzuoli (Flavian),Puteoli,https://pleiades.stoa.org/places/432815,,153,amphitheater,flavian,TRUE,35700,Italy,regio-i,DKQ6KDQ2,https://amphi-theatrum.de/1466.html,FALSE,74.8,42,149,116,,14.125315,40.825929,41
pozzuoliEarlyAmphitheater,Early Amphitheater at Pozzuoli,Pozzuoli (Early),Puteoli,https://pleiades.stoa.org/places/432815,8,5,amphitheater,republican,FALSE,,Italy,regio-i,,https://amphi-theatrum.de/1465.html,TRUE,,,,,,14.127615,40.826239,58
syracuseAmphitheater,Amphitheater at Syracuse,Syracuse,Syracusae,https://pleiades.stoa.org/places/462503,,83,amphitheater,julio-claudian,TRUE,28773,Italy,sicilia,,https://amphi-theatrum.de/1514.html,FALSE,69.8,39.7,146.8,118.7,,15.278934,37.074132,23
carthageAmphitheater,Amphitheater at Carthage,Carthage,Carthago,https://pleiades.stoa.org/places/314921,,174,amphitheater,augustan,TRUE,30000,Tunisia,proconsularis,5V8IDURU,https://amphi-theatrum.de/1309.html,FALSE,64,36,156,128,,10.314924,36.856078,14
hadrianVillaAmphitheater,Amphitheater at Hadrian's Villa at Tivoli,Tivoli Villa,Villa Hadriani,https://pleiades.stoa.org/places/423127,,,amphitheater,hadrianic,TRUE,,Italy,regio-i,,,FALSE,,,25,,,12.778916,41.94164,99
corinthAmphitheater,Amphitheater at Corinth,Corinth,Corinthus,https://pleiades.stoa.org/places/570182,18,126,amphitheater,caesarean,TRUE,14000,Greece,achaea,,https://amphi-theatrum.de/1361.html,FALSE,58,30,98,70,,22.892126,37.909629,98
marcianopolisAmphitheater,Amphitheater at Marcianopolis (Devnya),Marcianopolis,Marcianopolis,https://pleiades.stoa.org/places/216878,,127,amphitheater,severan,TRUE,4000,Bulgaria,thracia,,https://amphi-theatrum.de/1534.html,FALSE,50,40,70,60,,27.556674,43.218689,120
porolissumAmphitheater,Amphitheater at Porolissum,Porolissum,Porolissum,https://pleiades.stoa.org/places/207361,,39,amphitheater,second-century,TRUE,,Romania,dacia,,https://amphi-theatrum.de/1443.html,FALSE,64,52,84,75,,23.154052,47.177552,441
nijmegenAmphitheater,Amphitheater at Nijmegen,Nijmegen,Ulpia Noviomagus,https://pleiades.stoa.org/places/98921,,38,amphitheater,second-century,TRUE,,Netherlands,germania-inferior,,https://amphi-theatrum.de/1453.html,FALSE,60,40,,,,5.878859,51.838523,46
carnuntumMilitaryAmphitheater,Military Amphitheater at Carnuntum,Carnuntum (Mil.),Carnuntum,https://pleiades.stoa.org/places/128376,,122,amphitheater,first-century,TRUE,8000,Austria,pannonia,,https://amphi-theatrum.de/1432.html,FALSE,71,43,99.5,81.5,,16.892619,48.126824,164
carnuntumLudus,Carnuntum (Ludus),Carnuntum Ludus,Carnuntum,https://pleiades.stoa.org/places/128376,,,practice-arena,imperial,FALSE,,Austria,pannonia,,https://amphi-theatrum.de/2188.html,TRUE,,,,,,16.848689,48.109807,185
carnuntumCivilianAmphitheater,Civilian Amphitheater at Carnuntum,Carnuntum (Civ.),Carnuntum,https://pleiades.stoa.org/places/128376,,123,amphitheater,second-century,TRUE,13000,Austria,pannonia,,https://amphi-theatrum.de/1431.html,FALSE,66,50,129,113,,16.850943,48.110019,185
leptisMagnaAmphitheater,Amphitheater at Leptis Magna,Leptis Magna,Leptis Magna,https://pleiades.stoa.org/places/344448,,24,amphitheater,neronian,TRUE,16000,Libya,proconsularis,,https://amphi-theatrum.de/1321.html,FALSE,57,47,100,90,,14.309452,32.63234,18
empuriesAmphitheater,Amphitheater at Empuries,Empuries,Emporiae,https://pleiades.stoa.org/places/246382,,93,amphitheater,first-century,TRUE,3343,Spain,tarraconensis,,https://amphi-theatrum.de/1520.html,FALSE,71,42,86,54,,3.117431,42.130042,27
tarragonaAmphitheater,Amphitheater at Tarragona,Tarragona,Tarraco,https://pleiades.stoa.org/places/246349,,139,amphitheater,second-century,TRUE,15000,Spain,tarraconensis,,https://amphi-theatrum.de/1497.html,FALSE,62,39,95,69.5,,1.25878,41.114522,13
cagliariAmphitheater,Amphitheater at Cagliari,Cagliari,Carales,https://pleiades.stoa.org/places/471899,,182,amphitheater,second-century,TRUE,12283,Italy,corsica-et-sardinia,,https://amphi-theatrum.de/1377.html,FALSE,46.8,33.2,92.8,79.2,,9.113228,39.223908,60
italicaAmphitheater,Amphitheater at Italica,Italica,Italica,https://pleiades.stoa.org/places/256231,,168,amphitheater,second-century,TRUE,25000,Spain,baetica,,https://amphi-theatrum.de/2740.html,FALSE,70,44,160,136,,-6.046742,37.443893,17
segobrigaAmphitheater,Amphitheater at Segobriga,Segobriga,Segobriga,https://pleiades.stoa.org/places/266036,,88,amphitheater,flavian,TRUE,7500,Spain,tarraconensis,L98ZXTFU,https://amphi-theatrum.de/1516.html,FALSE,47,31,75,64,,-2.813944,39.886018,817
cataniaAmphitheater,Amphitheater at Catania,Catania,Catina,https://pleiades.stoa.org/places/462270,,180,amphitheater,imperial,TRUE,16000,Italy,sicilia,,https://amphi-theatrum.de/2635.html,FALSE,52,38,90,70,,15.085323,37.507096,31
paestumAmphitheater,Amphitheater at Paestum,Paestum,Paestum,https://pleiades.stoa.org/places/442733,10,7,amphitheater,republican,TRUE,4500,Italy,regio-iii,,https://amphi-theatrum.de/1468.html,FALSE,56,35,79,59,,15.006449,40.422354,18
luniAmphitheater,Amphitheater at Luni,Luni,Luna,https://pleiades.stoa.org/places/403235,,143,amphitheater,second-century,TRUE,3326,Italy,regio-vii,P8RB27QW,https://amphi-theatrum.de/1543.html,FALSE,52,34.5,87,71,,10.022386,44.062656,4
cassinoAmphitheater,Amphitheater at Cassino,Cassino,Casinum,https://pleiades.stoa.org/places/432764,,82,amphitheater,imperial,TRUE,7840,Italy,regio-i,,https://amphi-theatrum.de/1513.html,FALSE,51,33,84,66,,13.823575,41.482933,73
viminaciumAmphitheater,Amphitheater at Viminacium,Viminacium,Viminacium,https://pleiades.stoa.org/places/207549,,,amphitheater,second-century,TRUE,6900,Serbia,moesia-superior,SL2QKBGS,https://amphi-theatrum.de/2572.html,FALSE,55,45,84,74,,21.220083,44.737985,72
flaviaSolvaAmphitheater,Amphitheater at Flavia Solva,Flavia Solva,Flavia Solva,https://pleiades.stoa.org/places/197273,,52,amphitheater,imperial,TRUE,2729,Austria,noricum,EGZ5XRE9,https://amphi-theatrum.de/1455.html,FALSE,85,35,97,45,,15.5657773,46.76715349,266
roselleAmphitheater,Amphitheater at Roselle,Roselle,Rusellae,https://pleiades.stoa.org/places/413288,,13,amphitheater,julio-claudian,TRUE,2309,Italy,regio-vii,,https://amphi-theatrum.de/1478.html,FALSE,30,20,48,37,,11.159132,42.828405,165
parisAmphitheater,Amphitheater at Paris,Paris,Lutetia Parisiorum,https://pleiades.stoa.org/places/109126,,,gallo-roman-amphitheater,flavian,TRUE,15000,France,lugdunensis,,https://theatrum.de/887.html,FALSE,52,46,,,,2.352855,48.845097,46
octodurusForumClaudiiVallensiumAmphitheater,Amphitheater at Octodurus/Forum Claudii Vallensium,Octodorus,Octodurus,https://pleiades.stoa.org/places/167859,,27,amphitheater,imperial,TRUE,15550,Switzerland,alpes-poeninae,,https://amphi-theatrum.de/1489.html,FALSE,74,62,118,106,,7.073493,46.094356,480
cyreneAmphitheater,Amphitheater at Cyrene,Cyrene,Cyrene,https://pleiades.stoa.org/places/373778,,75,amphitheater,imperial,TRUE,,Libya,crete-et-cyrenaica,,https://amphi-theatrum.de/2487.html,FALSE,33,28,,,,21.850808,32.824526,550
libarnaAmphitheater,Amphitheater at Libarna,Libarna,Libarna,https://pleiades.stoa.org/places/383694,,105,amphitheater,imperial,TRUE,5380,Italy,regio-ix,,https://amphi-theatrum.de/1530.html,FALSE,66,36.6,88,58.7,,8.867967,44.706013,225
luceraAmphitheater,Amphitheater at Lucera,Lucera,Luceria,https://pleiades.stoa.org/places/442640,,12,amphitheater,augustan,TRUE,17149,Italy,regio-ii,,https://amphi-theatrum.de/1436.html,FALSE,72.2,43.2,126.8,94.5,,15.344984,41.508249,196
avellaAmphitheater,Amphitheater at Abella,Abella,Abella,https://pleiades.stoa.org/places/432617,5,3,amphitheater,republican,TRUE,,Italy,regio-i,,https://amphi-theatrum.de/1461.html,FALSE,63,35,108,70,,14.608415,40.961526,224
nimesAmphitheater,Amphitheater at Nimes,Nimes,Nemausus,https://pleiades.stoa.org/places/148142,,155,amphitheater,flavian,TRUE,24000,France,narbonensis,LD7NNHSG,https://amphi-theatrum.de/1385.html,FALSE,69.1,38.4,133.4,101.4,,4.359599,43.834876,50
charterhouseAmphitheater,Amphitheater at Charterhouse,Charterhouse,Ischalis,https://pleiades.stoa.org/places/79534,,32,amphitheater,imperial,TRUE,,United Kingdom,britannia,,https://amphi-theatrum.de/1441.html,FALSE,32,24,70,61,,-2.720301,51.305437,296
chesterAmphitheater,Amphitheater at Chester,Chester,Deva Victrix,https://pleiades.stoa.org/places/79420,,107,amphitheater,flavian,TRUE,10861,United Kingdom,britannia,CW8ICQUU,https://amphi-theatrum.de/1437.html,FALSE,56.7,48.3,95.5,86.6,,-2.886928,53.189079,23
gennesAmphitheater,Amphitheater at Gennes,Gennes,Geinum,https://pleiades.stoa.org/places/138371,,,gallo-roman-amphitheater,second-century,TRUE,5000,France,lugdunensis,,https://amphi-theatrum.de/2554.html,FALSE,44,39,,,,-0.2386057,47.3352194,47
scythopolisNysaAmphitheater,Amphitheater at Scythopolis/Nysa,Scythopolis,Scythopolis,https://pleiades.stoa.org/places/678378,,,arena-in-hippodrome,imperial,FALSE,,Israel,judaea,,https://amphi-theatrum.de/2402.html,TRUE,,,,,,35.501631,32.498395,-121
roccellettaAmphitheater,Amphitheater at Roccelletta di Borgia,Roccelletta di Borgia,Scylletium,https://pleiades.stoa.org/places/452439,,,amphitheater,first-century,TRUE,,Italy,regio-iii,,https://amphi-theatrum.de/1598.html,FALSE,,,88,64,,16.59232919,38.80688779,44
bordeauxAmphitheater,Amphitheater at Bordeaux,Bordeaux,Burdigala,https://pleiades.stoa.org/places/138248,,188,amphitheater,second-century,TRUE,22130,France,aquitania,V8642RQH,https://amphi-theatrum.de/1388.html,FALSE,69.8,46.7,132.3,110.6,,-0.582476,44.847382,17
oudnaAmphitheater,Amphitheater at Oudna,Uthina,Uthina,https://pleiades.stoa.org/places/315247,,115,amphitheater,second-century,TRUE,11832,Tunisia,proconsularis,,https://amphi-theatrum.de/1347.html,FALSE,52.5,37.5,96,81,,10.169215,36.608597,112
carthagoNovaAmphitheater,Amphitheater at Carthago Nova/Col. Urbs Iulia,Carthago Nova,Carthago Nova,https://pleiades.stoa.org/places/265849,,,amphitheater,imperial,TRUE,,Spain,tarraconensis,,https://amphi-theatrum.de/1613.html,FALSE,,,69,69,,-0.9801609,37.6006455,23
virunumAmphitheater,Amphitheater at Virunum,Virunum,Virunum,https://pleiades.stoa.org/places/197583,,51,amphitheater,second-century,TRUE,,Austria,noricum,EGZ5XRE9,https://amphi-theatrum.de/1501.html,FALSE,,,96,42,,14.3669959,46.6978777,479
carsulaeAmphitheater,Amphitheater at Carsulae,Carsulae,Carsulae,https://pleiades.stoa.org/places/413065,,80,amphitheater,late-first-century,TRUE,5945,Italy,regio-vi,,https://amphi-theatrum.de/1512.html,FALSE,62.1,37.6,86.5,62,,12.559172,42.639468,438
florenceAmphitheater,Amphitheater at Florence,Florence,Florentia,https://pleiades.stoa.org/places/413138,,140,amphitheater,hadrianic,TRUE,,Italy,regio-vii,,https://amphi-theatrum.de/1387.html,FALSE,64,40,113,89,,11.2595198,43.7687303,47
ocriculumAmphitheater,Amphitheater at Ocriculum,Ocriculcum,Ocricoli,https://pleiades.stoa.org/places/413231,,142,amphitheater,imperial,TRUE,17812,Italy,regio-vi,,https://amphi-theatrum.de/2878.html,FALSE,64,42,120,98,,12.4671905,42.4115648,86
lixusAmphitheater,Amphitheater at Lixus,Lixus,Lixus,https://pleiades.stoa.org/places/275666,,,amphitheater,imperial,TRUE,,Morocco,mauretania,,https://amphi-theatrum.de/3043.html,FALSE,34,28,,,,-6.1084683,35.19990039,52
arezzoAmphitheater,Amphitheater at Arezzo,Arezzo,Arretium,https://pleiades.stoa.org/places/413032,,149,amphitheater,flavian,TRUE,8000,Italy,regio-vii,,https://amphi-theatrum.de/1398.html,FALSE,71.9,42.7,109.4,80,,11.88037,43.460491,263
larinoAmphitheater,Amphitheater at Larinum,Larinum,Larinum,https://pleiades.stoa.org/places/442629,,,amphitheater,imperial,TRUE,,Italy,regio-ii,,https://amphi-theatrum.de/1609.html,FALSE,57,40,98,86,,14.9159226,41.8058428,406
lucusFeroniaeAmphitheater,Amphitheater at Lucus Feroniae,Lucus Feroniae,Lucus Feroniae,https://pleiades.stoa.org/places/413184,16,145,amphitheater,julio-claudian,TRUE,1844,Italy,regio-vii,,https://amphi-theatrum.de/2923.html,FALSE,34,32,46,44,,12.594868,42.129831,52
ferentoAmphitheater,Amphitheater at Ferento,Ferento,Ferentium,https://pleiades.stoa.org/places/413184,16,9,amphitheater,republican,TRUE,,Italy,regio-vii,,https://amphi-theatrum.de/1470.html,FALSE,,,68,40,,12.139272,42.491986,288
allifaeAmphitheater,Amphitheater at Allifae,Allifae,Allifae,https://pleiades.stoa.org/places/432658,,,amphitheater,imperial,TRUE,,Italy,regio-i,,https://amphi-theatrum.de/2038.html,FALSE,72,48,107,84,,14.334997,41.325601,106
cimiezAmphitheater,Amphitheater at Cimiéz,Cimiez,Cemenelum,https://pleiades.stoa.org/places/157834,,16,amphitheater,julio-claudian,TRUE,4245,France,narbonensis,WFCBSKSY,https://amphi-theatrum.de/1481.html,FALSE,46,34,67,56,,7.2752435,43.71967279,112
hydataHypsitanaForumTraianiAmphitheater,Amphitheater at Hydata Hypsitana/Forum Traiani,Forum Traiani,Forum Traiani,https://pleiades.stoa.org/places/471947,,,amphitheater,imperial,TRUE,,Italy,corsica-et-sardinia,,https://amphi-theatrum.de/2959.html,FALSE,40,32,,,,8.804698,39.993171,49
luccaAmphitheater,Amphitheater at Lucca,Lucca,Luca,https://pleiades.stoa.org/places/403234,,135,amphitheater,imperial,TRUE,15048,Italy,regio-vii,,https://amphi-theatrum.de/1390.html,FALSE,80,53,124,96,,10.5057722,43.8455202,19
hispellumAmphitheater,Amphitheater at Spello,Spello,Hispellum,https://pleiades.stoa.org/places/413170,,,amphitheater,first-century,TRUE,,Italy,regio-vi,,https://amphi-theatrum.de/1595.html,FALSE,,,82,,,12.6662021,42.9957909,211
veronaAmphitheater,Amphitheater at Verona,Verona,Verona,https://pleiades.stoa.org/places/383816,,,amphitheater,julio-claudian,TRUE,30000,Italy,regio-x,,https://amphi-theatrum.de/1369.html,FALSE,75.68,44.43,152.43,123.42,,10.99435,45.43904,62
aquincumCivilAmphitheater,Civil Amphitheater at Budapest,Aquincum (Civilian),Aquincum,https://pleiades.stoa.org/places/197130,,125,amphitheater,imperial,TRUE,8617,Hungary,pannonia,,https://amphi-theatrum.de/1457.html,FALSE,51,42,86.5,75.5,,19.047985,47.567577,105
aquincumMilitaryAmphitheater,Military Amphitheater at Budapest,Aquincum (Military),Aquincum,https://pleiades.stoa.org/places/197130,,124,amphitheater,imperial,TRUE,16049,Hungary,pannonia,,https://amphi-theatrum.de/1458.html,FALSE,88,42,131,107,,19.03906599,47.532947,101
aldburoughAmphitheater,Amphitheater at Aldborough,Aldburough,Isurium Brigantium,https://pleiades.stoa.org/places/89209,,,amphitheater,imperial,TRUE,,United Kingdom,britannia,,https://amphi-theatrum.de/1499.html,FALSE,58,47,,,,-1.3796296,54.0881157,41
perigueuxAmphitheater,Amphitheater at Perigueux,Périgueux,Vesunna Petrucoriorum,https://pleiades.stoa.org/places/138650,,136,amphitheater,first-century,TRUE,21413,France,aquitania,LD7NNHSG,https://amphi-theatrum.de/1407.html,FALSE,65,41,129,105,,0.713249,45.18274,97
cividateCamunoAmphitheater,Amphitheater at Cividate Camuno,Cividate Camuno,Civitas Camunnorum,https://pleiades.stoa.org/places/383617,,,amphitheater,imperial,TRUE,,Italy,regio-x,,https://amphi-theatrum.de/2945.html,FALSE,,,73,60,,10.280644,45.94381289,283
grumentoAmphitheater,Amphitheater at Grumento,Grumento,Grumentum,https://pleiades.stoa.org/places/442603,,92,amphitheater,imperial,TRUE,7657,Italy,regio-iii,,https://amphi-theatrum.de/1519.html,FALSE,60,40,90,70,,15.9115794,40.2876404,579
albaFucensAmphitheater,Amphitheater at Alba Fucens,Alba Fucens,Alba Fucens,https://pleiades.stoa.org/places/413005,,23,amphitheater,julio-claudian,TRUE,10720,Italy,regio-iv,,https://amphi-theatrum.de/1487.html,FALSE,64,37,103,76,,13.412289,42.0772,977
augstAmphitheater,Amphitheater at Augst,Augst,Augusta Raurica,https://pleiades.stoa.org/places/177494,,73,amphitheater,late-second-century,TRUE,14313,Switzerland,germania-superior,LD7NNHSG,https://amphi-theatrum.de/1411.html,FALSE,48,33,102,87,,7.72061,47.529294,285
sutriumAmphitheater,Amphitheater at Sutrium,Sutrium,Sutrium,https://pleiades.stoa.org/places/413328,15,8,amphitheater,republican,TRUE,8500,Italy,regio-vii,,,FALSE,,,77,,,12.2293009,42.2393124,271
sarmizegetusaAmphitheater,Amphitheater at Ulpia Traiana Sarmizegetusa,Sarmizegetusa,Ulpia Traiana Sarmizegetusa,https://pleiades.stoa.org/places/207527,,110,amphitheater,second-century,TRUE,5831,Romania,dacia,,,FALSE,66,47,88,69,,22.7853206,45.51667729,491
salonaAmphitheater,Amphitheater at Salona,Salona,Salona,https://pleiades.stoa.org/places/197488,,181,amphitheater,second-century,TRUE,13380,Croatia,dalmatia,,https://amphi-theatrum.de/1565.html,FALSE,64,40,125,101,,16.473893,43.5381718,8
londonAmphitheater,Amphitheater at London,London,Londinium,https://pleiades.stoa.org/places/79574,,,amphitheater,flavian,TRUE,6500,United Kingdom,britannia,,https://amphi-theatrum.de/1972.html,FALSE,60,40,100,85,,-0.092136,51.515522,29
tiburAmphitheater,Amphitheater at Tibur,Tibur,Tibur,https://pleiades.stoa.org/places/423081,,,amphitheater,hadrianic,TRUE,,Italy,regio-i,,,FALSE,,,85,,,12.798114,41.960571,248
caerleonAmphitheater,Amphitheater at Caerleon,Caerleon,Isca Augusta,https://pleiades.stoa.org/places/79532,,108,amphitheater,imperial,TRUE,6000,United Kingdom,britannia,,https://amphi-theatrum.de/1438.html,FALSE,55,41,80,66,,-2.956878,51.6080589,13
telesiaAmphitheater,Amphitheater at Telesia,Telesia,Telesia,https://pleiades.stoa.org/places/433147,9,6,amphitheater,republican,TRUE,9000,Italy,regio-i,,,FALSE,,,112,,,14.500496,41.223911,68
urbisagliaAmphitheater,Amphitheater at Urbs Salvia,Urbs Salvia,Urbs Saglia,https://pleiades.stoa.org/places/413364,,165,amphitheater,flavian,TRUE,5150,Italy,regio-v,,https://amphi-theatrum.de/1556.html,FALSE,59,35,98,71,,13.387224,43.200877,219
saintesAmphitheater,Amphitheater at Saintes,Saintes,Mediolanum Santonum,https://pleiades.stoa.org/places/138458,,100,amphitheater,imperial,TRUE,20197,France,aquitania,,https://amphi-theatrum.de/1526.html,FALSE,65.2,39.2,126.4,101.6,,-0.6433512,45.7453926,20
assisiAmphitheater,Amphitheater at Assisi,Assisi,Asisium,https://pleiades.stoa.org/places/413037,,,amphitheater,first-century,TRUE,,Italy,regio-vi,,https://amphi-theatrum.de/1386.html,FALSE,60,35,,,,12.620454,43.071077,445
durresAmphitheater,Amphitheater at Durrës,Durrës,Dyrrachium,https://pleiades.stoa.org/places/481818,,178,amphitheater,second-century,TRUE,20000,Albania,macedonia,4MKNQEGP,,FALSE,61.4,42.2,132.4,113.2,,19.445131,41.312241,15
lambaesisAmphitheater,Amphitheater at Lambaesis,Lambaesis,Lambaesis,https://pleiades.stoa.org/places/334570,,111,amphitheater,second-century,TRUE,15400,Algeria,mauretania,,https://amphi-theatrum.de/1444.html,FALSE,68,55,104.6,94,,6.2599349,35.4892469,1170
mactarisAmphitheater,Amphitheater at Mactaris,Mactaris,Mactaris,https://pleiades.stoa.org/places/324774,,119,amphitheater,second-century,TRUE,5000,Tunisia,proconsularis,,,FALSE,38.4,24.8,63.2,49.6,,9.2066727,35.8556279,911
